id,page,user,date,review
1,1,Anonymous,N/A,#11. 11 best quality air conditioner dawlance is best i only purchase dawlance items my trust good product quick and safe delivery 0
2,1,Anonymous,N/A,#11.11 what a product in this price with longest warranty of 12 years. Dawlance is the best 0
3,1,Anonymous,N/A,bohat he ganda AC full waste of money and electricity is say acha cooler lga lain ya fan chla lain koi bahi Bol kr be mat la bakhuda 0
4,2,Anonymous,N/A,"new review update   Alhamdulillah 5th june ko received hua or aj 6th june ko installed hogaya hai, cooling gen mode 2apm pe kafi slow hai lekin 440watts k hisab se kafi reasonable hai satisfied hun me   last review  28th may ko order kia tha 2nd june ki delivery thi lekin 5june ko aj 2:35 pe received hua hai   installation k liy call kardi hai kal ayga banda 6june ko   review update karunga after installation in sha Allah  Cooling Power:6  Energy Efficiency:9  Noise Level:0  Color Family:Antique White 15"
5,2,Anonymous,N/A,"Amazing product from dawlance, timely delivered and free installation from dawlance . great cooling   Color Family:Antique White 26"
6,2,Anonymous,N/A,"Masha Allah Excellent Dawlance AC , Fast delivery,ab installation ki bari hai Jazak Allah  Daraz & Dawlance & Courier  💖💝❤️💕💝💖 Color Family:Antique White 7"
7,2,Anonymous,N/A,Cooling Power:level cooling with low consumption of electricity  bahtreen chez ha   Color Family:Antique White 9
8,2,Anonymous,N/A,Very nice product perfect through amazing cooling beautiful remote control using in a 12×14 elegant design using electric on 26 speed 2.5amp to 1.5.  Color Family:Antique White 13
9,3,Anonymous,N/A,thanks you daraz I am very happy with the purchase very good working cooling is asume  Color Family:Antique White 20
10,3,Anonymous,N/A,"Excellent product same as shown as picture,  Highly recommended 14×12 room,  Thank you, seller,  Thank you, Daraz .   Color Family:Antique White 10"
11,3,Anonymous,N/A,"delivery on time, leopards service boy was cooperative, packed well, condition 10/10, genuine product, received one and every item genuine which I have personally never seen before, seller is honest, yet I haven't installed but I am sure it will work awesome.. I will highly recommend this product. Color Family:Antique White 7"
12,3,Anonymous,N/A,Zbrdst Ac mene 3 Ac ka ordr dya tha aj muje receve howe hn or aj hi install krwai hn thnks daraz & sellr Color Family:Antique White 6
13,3,Anonymous,N/A,Masha Allah behtreen AC Koe Damge Nahe Koe dend nahe Saf New zabrdast packing maza agya thank you daraz thank you dawlance thank you delivery Boy  Color Family:Antique White 7
14,4,Anonymous,N/A,اچھی پیکنگ اور بحفاظت پہنچ گیا باقی کوالٹی یا فالٹ کا پتہ چلانے پر لگے گا  Color Family:Antique White 7
15,4,Anonymous,N/A,Very good quality and quality of service dawlance  Color Family:Antique White 2
16,4,Anonymous,N/A,very excellent product I will order again Dawlance reliable hai  Color Family:Antique White 3
17,4,Anonymous,N/A,Product is nicely packed and delivered at door step as well. Installation is also free of cost by calling dawlance UAN and technician is also coprative. We'll done dawlance flagship mall and daraz as well. But delivery time is too late I ordered it 2-1-24 And received at it 10-1-24 Overall experience till now is good Now result will be came in summer season bcz now weather is already cool so can't say anything about product efficiency. Thanks for dawlance again  Color Family:Antique White 7
18,4,Anonymous,N/A,Masha'Allah bht acha ac h cooling b bht achi kr raha h or deliver b time sy phly ho gya tha Masha'Allah.thank you Dawlance and Daraz  Color Family:Antique White 4
19,5,Anonymous,N/A,abhi install nahin howa best of luck 😊   Color Family:Antique White 6
20,5,Anonymous,N/A,best inverter Split in the price of non-inverter Ac 🤗🔥 Color Family:Antique White 5
21,5,Anonymous,N/A,Veery good product thnks daraz & seller Color Family:Antique White 4
22,5,Anonymous,N/A,Thank you I’ve received today  Color Family:Antique White 1
23,5,Anonymous,N/A,Great AC for 120 sqft room Color Family:Antique White 4
24,6,Anonymous,N/A,very nice I like it order again soon  Color Family:Antique White 1
25,6,Anonymous,N/A,very good and nixe perfomeas And good energy saver  Color Family:Antique White 2
26,6,Anonymous,N/A,wow I m fully satisfied  Color Family:Antique White 2
27,6,Anonymous,N/A,alhamdulillah order safely receive ho gaya hai shukriya daraz have use nahi kiya hopefully sab kuch sahi hoga Color Family:Antique White 1
28,6,Anonymous,N/A,"I am highly satisfied with the service, the technician came on the same day i received the AC, and the AC is outstanding, i have installed in the basement 16*10 room and it works like 1.5ton AC, the air throw is very impressive and the best part is it only takes 4amp at starting and once the room is cool with the desire  temperature it comes down to 2amp.  Color Family:Antique White 3"
29,7,Anonymous,N/A,bohat acha ac hai working properly  thanks seller and daraz 👍❤  Color Family:Antique White 2
30,7,Anonymous,N/A,"working fine AH. installation wala kafi der se aya, multiple times request krni pari. jab aya to jaldi main us ne outdoor sidha nahi lgaya. khud adjust krna para. Color Family:Antique White 1"
31,7,Anonymous,N/A,Good Quality  Color Family:Antique White 2
32,7,Anonymous,N/A,Bought this 0.7 ton ac second time and got almost 10k discount I'm posting a review after using it for 2-3 months and it's totally worth the price and it consumes very low electricity perfect for small size rooms also works on solar pretty well if anyone has like a small room or office can definitely go for it I'm completely satisfied with the product also the installation was done the same day thanks daraz and dawlance 😊 Color Family:Antique White 5
33,7,Anonymous,N/A,the product was awesome 😎 I called them after 1 month for installation and doing the verification process they sent the person the next day for the free installation and now it's almost been a month and the AC works perfectly  the person they sent was very quick with his work but not his assistant 😅 ( had little damage issue with my furniture due to his carelessness) the gen mode makes it run on only ~2.0 amp which is great for me ...all in all its great and would recommend for small 10x10room Color Family:Antique White 2
34,8,Anonymous,N/A,best product by Dawlance with less consumption good performance  A ideal product for small and average rooms in nowadays electricity rates are to high keep it up 👍 aur innovation Lai technology aur consumption ma make it Dawlance best for people and budget   💯 recommended  Color Family:Antique White 0
35,8,Anonymous,N/A,"Very satisfied, working flawless. reviewing after 4 months, Thankyou!  Color Family:Antique White 0"
36,8,Anonymous,N/A,"Well packed, company response was good, installation was free of cost, my room is 12x12ft n it becomes quite cool after 30 mins on 26 temperature, overall i will rate it 9/10, delivered same as shown, i dint know about its electricity consumption but overall experience was good Color Family:Antique White 2"
37,8,Anonymous,N/A,2 sal pehle mangwaya tha. wo Ac or heater dono tha or 65000 ka aaya tha ab mangwaya hy to 89000 ka aaya hy or sorf cool hy. heater ka option hi nahe hy. wesy chalny me behtreen hy Color Family:Antique White 1
38,8,Anonymous,N/A,"To be honest initially I was scared for ordering, though due to Daraz/ Dawlance we satisfied.item was packed and delivered carefully.  Experience is excellent, keep up the good services.👍 Color Family:Antique White 3"
39,9,Anonymous,N/A,"R32 Gas is dangerous and is advised not to be used. Multiples cases of blasts have been reported. Don’t know why companies are still using it. This could be one of the factors why this unit is on sale.   Otherwise,  Well Packed!  Quality seems good to me.  Works well.  Haven’t used much since installation so can’t tell about long term performance. Color Family:Antique White 3"
40,9,Anonymous,N/A,"Best Investment I have ever made, My room is 10x10x10 Ft and it Consume 1.5-2.5 Amps, I keep the Temp from 25c to 28c and Monthly Amps are average 2. Fully satisfied from everything. Delivery 100%, Packaging 100%, Installations 100%. Full 5 Stars. God Bless. Color Family:Antique White 9"
41,9,Anonymous,N/A,"Timely delivered in a one day, not installed yet as I call the company but they rejected my request to install AC on Weekends. Mostly people are working in offices company should increase their service on Saturday & Sunday also. As Haier company is doing. Color Family:Antique White 2"
42,9,Anonymous,N/A,"Safely packed, but not delivered at door step, self collected from warehouse of leopard Courier after wait for many days. Product quality is outstanding, found as described, working well spacially its Gen mode, purely energy saving function which is need of the day. strongly recommended, I have installed in 14x12 room and there is no problem feel about efficiency.Thanks Dawlance and Daraz. Color Family:Antique White 7"
43,9,Anonymous,N/A,"I am absolutely thrilled with my recent purchase of the Dawlance AC from Daraz! This AC has exceeded my expectations in every way. The cooling performance is outstanding. The sleek and modern design. I was pleasantly surprised by how energy-efficient it is, helping me save on my electricity bills. The installation process was a breeze. Overall, this Dawlance AC has made my summer days incredibly comfortable, and I couldn't be happier with my purchase from Daraz! Highly recommended! ⭐⭐⭐⭐⭐ Color Family:Antique White 1"
44,10,Anonymous,N/A,"very well packed, ithing timw delivery. dawlance team came the next day for installation. the AC performance is more than expected, made the room comfortable. Color Family:Antique White 1"
45,10,Anonymous,N/A,zbrdst chiz full accessories k sath itna dill Khush hua k mza agya dekh k or mzeed Khushi isko install krwa k Mili AJ subha he Mila parcel or AJ he Masha Allah install krwadia . boht boht  shukriya Dawlance ka or sb se ziada Daraz ka jis ki wjha se hum world class chizain khrid k enjoy kertay he or is befikri k sath k Daraz he to no worries. Color Family:Antique White 6
46,10,Anonymous,N/A,Good packing..very nice product  Installed in 12×12 room colling is very good .. Satisfied with the service and product..thanks draz and dawlance  Color Family:Antique White 2
47,10,Anonymous,N/A,MashAllah Bhuhat acha A.C hai abhi maney install nahi karaya hai. I hope acha hi hoga InshAllah aur han wasey bhi Dawlance reliable Hai. 💯 Color Family:Antique White 1
48,10,Anonymous,N/A,excellent service daraz dawlance air conditioner mega T+10 DC inverter split unit thank you so much daraz  Color Family:Antique White 1
49,11,Anonymous,N/A,Alhamdulillah main nay abi instal  kar liya hai zabardast hai no damig our tamam itam sath paking main hai our paking be bohat achi thi. a one cooling dawlace number one Color Family:Antique White 7
50,11,Anonymous,N/A,"Product is nicely packed and delivered at door step as well. Installation is also free of cost by calling dawlance UAN and technician is also coprative. We'll done dawlance flagship mall and daraz as well. Overall experience till now is good Now good experience with dawlance. I am using on solar 3kw system. Good product Recommended to everyone Thanks for dawlance, daraz and seller again and I will order one more on this price Color Family:Antique White 0"
51,11,Anonymous,N/A,بہت اچھی طرح پیک ہوا اے سی وقت پر پہنچ گیا ہے ۔ تمام چیزیں مکمل اور معیاری ہیں۔ انسٹالیشن کا کام کچھ دن بعد آج شروع کیا ہے ۔اور چالو بھی آج ہی کیا ہے۔ اب ٹھیک ٹھیک چلتا رہے تو اچھا ہے۔ Color Family:Antique White 0
52,11,Anonymous,N/A,"I recently purchased this air conditioner about a week ago and I wanted to wait until I had a chance to thoroughly test it before providing an honest review. I must say, I am extremely satisfied with the build quality and cooling performance of this AC unit. It has definitely been worth the investment.  I usually don't take the time to post reviews, but I feel compelled to do so this time because I am genuinely impressed with my purchase. This AC has exceeded my expectations to such an extent that I wanted to share my satisfaction with others. It's rare for me to feel this strongly about a product, but I am truly satisfied with this purchase.  Disclaimer:I am unable to comment on its electricity consumption as it has only been a week since I started using it. Additionally, I reside in a flat in Karachi, where the normal room temperature at night is around 31°C. Considering these conditions, I am impressed that the AC is exceeding my expectations in terms of performance.  Color Family:Antique White 18"
53,11,Anonymous,N/A,Great product  Color Family:Antique White 1
54,12,Anonymous,N/A,"Excellent quality product. Build quality is even better than other brands in the market. Performance is awesome, both indoor and outdoor units noiseless. Color Family:Antique White 0"
55,12,Anonymous,N/A,Very Happy To Buy this Product. It's a value for money product. Totally Satisfied. Dawlance loa tu Baat Bani 😄 Color Family:Antique White 0
56,12,Anonymous,N/A,I ordered this product on Saturday and it's delivered very next day on Sunday with proper packing and all the stuff. I booked installation on Sunday and next day the team arrived and they are very professional. I am very impressed with the way everything handled.  Color Family:Antique White 0
57,12,Anonymous,N/A,"Set at 27/28, the consumptiom for a small room goes to 1.5 amp, which is perfect. Color Family:Antique White 2"
58,12,Anonymous,N/A,"my review is in few words, after using dawlance 0.75ton ac, it's marvellous performance, I ordered one more, but i request dawalance please also send your technician for free installation.  Color Family:Antique White 0"
59,13,Anonymous,N/A,The packing and the quality of product is amazing ! I am fully satisfied Alhamdulillah  Color Family:Antique White 1
60,13,Anonymous,N/A,Good ac ha nice product  Color Family:Antique White 1
61,13,Anonymous,N/A,"fantastic And fast delivery. Packing is also awosme. Product is also very Chill. Thank you so much Dawlance, thank you so much Daraz and TCS as well. I will buy 2 more same product.... Hope all Products will be same and on cheap prices.  Color Family:Antique White 0"
