Author,Date,Title,Review_Text
Aman k,25-06-2025,Excellent,"Bht acha ac hai hr lihaz sy highly recommend 

                    Read more




11 Yes


1 No"
1 No,N/A,11 Yes,
Kanwal J,17-04-2026,Dawlance mega t plus inverter 0.75 ton,"I recently purchased an AC from the Dawlance website, and my experience has been excellent. The performance of the AC is very good — it cools efficiently, runs smoothly, and consumes relatively less electricity, which is a big plus.
The entire process, from placing the order to installation, was seamless and hassle-free. Everything was handled professionally and on time, making the overall experience very convenient.
In fact, I’ve been so satisfied that I’ve purchased a total of three units so far. Overall, I’m very happy with both the product quality and the service provided.

                    Read more




5 Yes


1 No"
Ammar A,24-06-2025,Ac,"Excellent product 💯

                    Read more




4 Yes


0 No"
Laraib A,16-04-2025,Perfect for Solar Setup – Highly Recommended!,"I'm using this Dawlance AC with my solar power system, and I must say it's performing exceptionally well. Even during peak summer hours, the cooling is quick and efficient while running entirely on solar energy. The energy efficiency of this unit is truly impressive, and it's a great choice for anyone looking to reduce electricity bills or run appliances on solar power. Highly satisfied with the performance — definitely a 5-star product!

                    Read more












5 Yes


1 No"
Muhammad F,18-06-2025,M Fasih Sami,"Dawlance i bought. 0.75ton ac and installed in 16 x 26 feet room it chilled room lately (becoz standard 2tons needed) approx in an hour but it is the best one
Satisfied with mega t inverter 

                    Read more




5 Yes


2 No"
Mian U,24-04-2026,Dawlance product very good 👍,"Excellent 

                    Read more




3 Yes


 No"
24-04-2026,24-04-2026,Muhammad A,"Excellent, highly recommend 

                    Read more




2 Yes


 No"
Waqas H,10-06-2025,Megat T 10 Plus,"I have received the order instantly in Lahore looking for installation team

                    Read more




 Yes


 No"
Muhammad U,23-05-2025,Yes,"Read more




 


 No"
Syed U,21-05-2025,BEST FOR FAST COOLING,"""Budget-friendly and ideal for 12 to 15 rooms, it runs on Gen Mode Level L2, consuming low electricity — just 1 unit in 2 hours and 10 minutes. A perfect choice for everyone

                    Read more




7 Yes


 No"
10-05-2025,10-05-2025,mansoor s,"I love it

                    Read more




 Yes


 No"
04-05-2025,04-05-2025,Taimur K,"Best product really satisfied 

                    Read more




2 Yes


 No"
ohud r,15-04-2025,Best Product Recommended and fastest service,"Best & Original Product Recommended 
delivered same day very fast delivery
installation service also fair work & good behavior.
got free delivery & free installation
i am happy with dawlance service

                    Read more












5 Yes


 No"
Kanwal J,25-03-2025,Kanwal J,Read more
Ghulam M,08-03-2025,Mega T 0.75 Ton,"Good AC for Small Rooms

                    Read more









2 Yes


 No"
Marisa B,27-05-2025,Good AC.,"The AC is perfect for a small sized room. I would definitely purchase more if stock was available. Delivery was extremely delayed but could be because of ongoing country-wide strikes

                    Read more




1 Yes


 No"
