Specification,Value
Ton,1.5 Ton
Fixed or inverter,DC Inverter
Cooling Capacity(BTU),19700
Heating Capacity(BTU),
Air Circulation（m³/h）,850
Power Input(KW)-Cooling,0.52 ~ 2.21
Power Input(W)-Heating,
Running Current(A)-Cooling,2.3 ~ 10.2
Running Current(A)-Heating,
Power Supply (Ph/V/Hz),
Capacity wise,1.5-Ton
Category wise,DC Inverter
Color,White
Type,Wall Mount
Display,Hidden LED
Refrigerant,R32
Refrigerant pipe,"Liq Side: 6mm, Gas side: 12mm"
Indoor Dimension(mm) W/D/H,900*215*310
Outdoor Dimension(mm) W/D/H,820*300*610
Indoor Weight(kg),12.5
Outdoor Weight(kg),33
Indoor Noise[dB(A)] (H/M/L),47/43/39
Outdoor Noise[dB(A)],55
Haier Smart Air,https://uhome.haieriot.net/download/airkit/
HSU-19LF,HSU-19LF
Brand,Haier
SKU,144376789_PK-3251919128
Air Conditioner Features,Inverter
Air Conditioner Rated Capacity (BTUs),1.5 Ton /19000 BTU
Kit Included,Yes
Cooling Liquid,R32
Inverter,Yes
Connecting Wire,Yes
Condition,Brand New
Room Size,240 SqFt
Warranty Policy EN,10 Years Compressor  04 Years PCB Card 03 Years Evaporator 01 Year  Parts Warranty
