id,page,user,date,review
1,1,Anonymous,N/A,"Received with thanks in a secured packing, fully satisfied. thanks to the seller for his timely response and guidance. 0"
2,1,Anonymous,N/A,Thank You Daraz Seller may allah pak keep you happy 0
3,1,Anonymous,N/A,Alhumdulillah received the same model i ordered. Packing was great and delivery time also impresive.. got company packed dc invertor of haier with all products in it. Thank you 0
4,2,Anonymous,N/A,very good product  Color Family:Black 2
5,2,Anonymous,N/A,Cooling Power:  better performing than others in the same price range. Good quality no complains of yet.  Color Family:Black 0
6,2,Anonymous,N/A,"Received on time, packing was solid, free installation done on next working day by Haier. working fine. satisfied Color Family:Black 1"
7,2,Anonymous,N/A,Perfectly working  Color Family:Black 0
8,2,Anonymous,N/A,Thanks for sending black color of my choice live long 1
9,3,Anonymous,N/A,"Nice Packing and Product,  I like it 👌  Color Family:Black 1"
10,3,Anonymous,N/A,Cooling Power：  Color Family:Black 0
11,3,Anonymous,N/A,yes happy with the product completely   Color Family:Black 0
12,3,Anonymous,N/A,Color Family:Black 0
13,3,Anonymous,N/A,میں نے پیمنٹ کا آپشن بینک الفلاح کریڈٹ کارڈ کے ذریعہ 3 اقساط منتخب کیا تھا ۔ مگر جب مجھے بینک الفلاح کی طرف سے بل موصول ہوا ہے تو وہ مکمل پیمنٹ کا بل ہے ۔ یہ دراز کی طرف سے غلطی ہوئی ہے لہٰذا اسے درست کیا جائے ۔ شکریہ ۔ 9
14,4,Anonymous,N/A,haier installation staff was the worse. they charged me for installation. It's all a scam. and worse when they were taking out my old ac unit they didn't bother to store the gas. you would expect for a multi national company some standards but it's all a pipe dream.  the shipping team wanted to leave it outside my house .     Color Family:Black 1
15,4,Anonymous,N/A,awesome 👍 1
16,4,Anonymous,N/A,Excellent  Color Family:Black 0
17,4,Anonymous,N/A,God procuct and fast deliery  0
18,4,Anonymous,N/A,very nice 👍 good saller 2
