id,page,user,date,review
1,1,Anonymous,N/A,"Good AC. Working good so far. It's sound is smooth but feel little louder, may be 10-15%. But not very unusual. 0"
2,1,Anonymous,N/A,Excellent cooling. Today temperature was 48...but AC cooling was fine. At night 28 is enough. Packing was good. haier after sale services are best in Pakistan. aC was installed on same day as delivered. highly recommended. 0
3,1,Anonymous,N/A,nice service good sipar achi quality ha inki acc ki cool bi boht ha 0
4,2,Anonymous,N/A,Cooling Power:10/10  Energy Efficiency:good   Noise Level:very very little  Color Family:White 2
5,2,Anonymous,N/A,"The packaging was really good, received well in time.  Color Family:White 2"
6,2,Anonymous,N/A,On time delivery.. quick response. Reasonable price Like it Love it Color Family:White 1
7,2,Anonymous,N/A,Cooling Power:excellent  Energy Efficiency:good  Noise Level:good  Color Family:White 0
8,2,Anonymous,N/A,havent installed my AC. else delivery time was fine. Color Family:White 1
9,3,Anonymous,N/A,Cooling Power:Very well throw   Energy Efficiency:seems pretty good  Noise Level:zero noise level   I am fully satisfied with this product fully recommended   Color Family:19LF(NEW MODEL 2025) 0
10,3,Anonymous,N/A,"Product delivered timely. However, the package was not opened yet as waiting for the installation team to visit and it will be opened in their presence. I will update later about the quality and performance of the delivered item.  Color Family:19LF(NEW MODEL 2025) 0"
11,3,Anonymous,N/A,Cooling Power:Good  Energy Efficiency:fair  Noise Level:high   delivered very late - installation process was a not good also but not bad.   Color Family:19LF(NEW MODEL 2025) 0
12,3,Anonymous,N/A,Installed happily. Hope it will be good experienced. Was fined delivery and services. Thanks  Color Family:White 0
13,3,Anonymous,N/A,I m fully satisfied with all services and product Color Family:White 2
14,4,Anonymous,N/A,"very good experience, thanks seller & draz Color Family:White 1"
15,4,Anonymous,N/A,original product. good packing Color Family:White 0
16,4,Anonymous,N/A,excellent service Color Family:White 1
17,4,Anonymous,N/A,"i ordered hot and cool, i clearly checked the description but i received only cool one. their description is also changed now. i initiated the return 3 times, package is at TCS warehouse since 4 days but they have not booked it yet. pathetic courier service Color Family:White 2"
18,4,Anonymous,N/A,Order delivered on time. Packed well and no issues.  Color Family:White 0
19,5,Anonymous,N/A,"worst after sales service no one picking calls no one respondint on bot, no one came for installation its 2 week after delivery! Color Family:White 4"
20,5,Anonymous,N/A,MashaAllah Good Product .we r satisfied  Color Family:White 0
21,5,Anonymous,N/A,recived on time but yet not installed  Color Family:19LF(NEW MODEL 2025) 0
22,5,Anonymous,N/A,good product & service .recommended.  Color Family:19LF(NEW MODEL 2025) 0
23,5,Anonymous,N/A,"worst after sales service no one picking calls no one respondint on bot, no one came for installation its 2 week after delivery! Color Family:White 2"
24,6,Anonymous,N/A,I am happy from daraz Color Family:White 0
25,6,Anonymous,N/A,Best AC 👌   Color Family:White 0
26,6,Anonymous,N/A,received    Color Family:19LF(NEW MODEL 2025) 0
27,6,Anonymous,N/A,Good  Color Family:19LF(NEW MODEL 2025) 0
28,6,Anonymous,N/A,Satisfied  Color Family:White 0
29,7,Anonymous,N/A,good service and original packaging and quick installation  Color Family:White 0
30,7,Anonymous,N/A,model change n defected hy mamga 18RFC THA DYA 18LF wo b defected Color Family:White 3
31,7,Anonymous,N/A,i recieved my AC yesterday and its in a proper packing and good condition. i place my or order on friday evening. i recieved my order on monday and also installed on same day. amizing service thanks haier and daraz Color Family:White 1
32,7,Anonymous,N/A,"AC Received and working in good condition.  However, Rs 8116.14 + Excise duty Rs 1217.42 Total 9333.84 additional charges from my credit card. Which are hidden charges.  Totally unsatisfied from DARAZ Service.  Color Family:White 0"
33,7,Anonymous,N/A,I have received the order but didn't get the warranty card so please send me the warranty card Color Family:White 1
34,8,Anonymous,N/A,only cool ... fraud seller .. didn't mentioned ... DONT BUY SAME PRICE HEAT AND COOL T3 AVAIL   Color Family:19LF(NEW MODEL 2025) 0
35,8,Anonymous,N/A,Best ! One word Color Family:White 0
36,8,Anonymous,N/A,🥰  Color Family:White 0
37,8,Anonymous,N/A,Good  Color Family:White 0
38,8,Anonymous,N/A,The blower of AC is broken. It cost another 4k to me  Color Family:White 2
39,9,Anonymous,N/A,Nice service hope company improve more Color Family:White 0
40,9,Anonymous,N/A,Looks and works great  Color Family:White 0
41,9,Anonymous,N/A,Very good ac Color Family:White 0
42,9,Anonymous,N/A,It is good product but i did not receive warranty card.. please resolve my issue ASAP... Color Family:White 3
43,9,Anonymous,N/A,Delivery Time is Not good  Color Family:White 1
44,10,Anonymous,N/A,Delivered Faulty Ac be careful guys.  Color Family:White 0
45,10,Anonymous,N/A,not show as pictures heat system not available not recommended  Color Family:White 0
46,10,Anonymous,N/A,AC tou acha nikla ab use karay gy phr pta chalay ga Color Family:White 1
47,10,Anonymous,N/A,Easy to install and works great Color Family:سفید 0
48,10,Anonymous,N/A,No more insects coming in with you. Color Family:سفید 0
49,11,Anonymous,N/A,Worth it! Color Family:سفید 1
